Season,Week,Date,SeasonWeek,StationID,SurveyID,Coyote,Opossum,Raccoon
SP10,week 3,5/18/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 3,5/19/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 3,5/20/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 3,5/21/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 3,5/22/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 3,5/23/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 3,5/24/2010,SP10 week 3,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/25/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/26/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/27/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/28/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/29/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/30/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 4,5/31/2010,SP10 week 4,D02-MBS0,D02-MBS0-SP10,NA,NA,NA
SP10,week 1,5/4/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/5/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/6/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/7/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/8/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/9/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/10/2010,SP10 week 1,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/11/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/12/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/13/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/14/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/15/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/16/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 2,5/17/2010,SP10 week 2,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/18/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/19/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/20/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/21/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/22/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/23/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 3,5/24/2010,SP10 week 3,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/25/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/26/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/27/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/28/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/29/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/30/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 4,5/31/2010,SP10 week 4,D02-MDU1,D02-MDU1-SP10,NA,NA,NA
SP10,week 1,5/4/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/5/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/6/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/7/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/8/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/9/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/10/2010,SP10 week 1,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/11/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/12/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/13/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/14/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/15/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/16/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 2,5/17/2010,SP10 week 2,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/18/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/19/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/20/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/21/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/22/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/23/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 3,5/24/2010,SP10 week 3,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/25/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/26/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/27/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/28/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/29/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/30/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 4,5/31/2010,SP10 week 4,D02-MOP1,D02-MOP1-SP10,NA,NA,NA
SP10,week 1,5/4/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/5/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/6/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/7/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/8/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/9/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/10/2010,SP10 week 1,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/11/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/12/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/13/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/14/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/15/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/16/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 2,5/17/2010,SP10 week 2,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/18/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/19/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/20/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/21/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/22/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/23/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 3,5/24/2010,SP10 week 3,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/25/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/26/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/27/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/28/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/29/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/30/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 4,5/31/2010,SP10 week 4,D02-RCP1,D02-RCP1-SP10,NA,NA,NA
SP10,week 1,5/4/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/5/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/6/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/7/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/8/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/9/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/10/2010,SP10 week 1,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/11/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/12/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/13/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/14/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/15/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/16/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 2,5/17/2010,SP10 week 2,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/18/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/19/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/20/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/21/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/22/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/23/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 3,5/24/2010,SP10 week 3,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/25/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/26/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/27/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/28/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/29/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/30/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 4,5/31/2010,SP10 week 4,D02-SCP1,D02-SCP1-SP10,NA,NA,NA
SP10,week 1,5/4/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/5/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/6/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/7/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/8/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/9/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/10/2010,SP10 week 1,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/11/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/12/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/13/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/14/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/15/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/16/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 2,5/17/2010,SP10 week 2,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/18/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/19/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/20/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/21/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/22/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/23/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 3,5/24/2010,SP10 week 3,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/25/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/26/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/27/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/28/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/29/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/30/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 4,5/31/2010,SP10 week 4,D03-AFP1,D03-AFP1-SP10,NA,NA,NA
SP10,week 1,5/4/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 1,5/5/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 1,5/6/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 1,5/7/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 1,5/8/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 1,5/9/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 1,5/10/2010,SP10 week 1,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/11/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/12/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/13/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/14/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/15/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/16/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 2,5/17/2010,SP10 week 2,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
SP10,week 3,5/18/2010,SP10 week 3,D03-AMP1,D03-AMP1-SP10,NA,NA,NA
